iter	Passed	Remaining
884	2529	328
885	2532	325
886	2535	323
887	2538	320
888	2542	317
889	2545	314
890	2548	311
891	2552	308
892	2554	306
893	2556	303
894	2559	300
895	2563	297
896	2566	294
897	2568	291
898	2571	288
899	2573	285
900	2575	283
901	2577	280
902	2580	277
903	2582	274
904	2585	271
905	2588	268
906	2592	265
907	2595	262
908	2597	260
909	2600	257
910	2604	254
911	2607	251
912	2610	248
913	2615	246
914	2617	243
915	2619	240
916	2621	237
917	2636	235
918	2639	232
919	2641	229
920	2644	226
921	2647	223
922	2650	221
923	2653	218
924	2656	215
925	2659	212
926	2662	209
927	2666	206
928	2671	204
929	2674	201
930	2677	198
931	2679	195
932	2682	192
933	2684	189
934	2689	186
935	2691	184
936	2694	181
937	2697	178
938	2700	175
939	2703	172
940	2705	169
941	2708	166
942	2710	163
943	2713	160
944	2717	158
945	2720	155
946	2724	152
947	2726	149
948	2737	147
949	2739	144
950	2742	141
951	2744	138
952	2747	135
953	2749	132
954	2752	129
955	2755	126
956	2758	123
957	2761	121
958	2765	118
959	2768	115
960	2770	112
961	2773	109
962	2777	106
963	2780	103
964	2783	100
965	2786	98
966	2788	95
967	2790	92
968	2794	89
969	2796	86
970	2798	83
971	2801	80
972	2803	77
973	2806	74
974	2809	72
975	2811	69
976	2815	66
977	2818	63
978	2822	60
979	2825	57
980	2828	54
981	2831	51
982	2835	49
983	2839	46
984	2842	43
985	2844	40
986	2847	37
987	2849	34
988	2852	31
989	2855	28
990	2858	25
991	2861	23
992	2863	20
993	2865	17
994	2868	14
995	2871	11
996	2873	8
997	2879	5
998	2883	2
999	2886	0
